Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Country,City,State,isInTop100
NEU Energy,https://www.crunchbase.com/organization/neu-energy,"Artificial Intelligence, Energy","Medellín, Antioquia, Colombia",AI-Driven Distributed Energy Service Provider,"68,790",Latin America,,Active,10/01/2019,day,,,,,For Profit,https://www.neu.com.co/,https://twitter.com/EnergyNeu,,https://www.linkedin.com/company/neu-energ%C3%ADa/,jhincapie@ercoenergia..com.co,3175168368,,,NEU is reinventing the process of producing and consuming energy.  As a next generation AI-driven electricity retailer our goal is to digitalize and democratize clean energy to lower our costumer's energy bills.,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Energy, Science and Engineering, Software",2,"Juan Camilo López, Juan Esteban Hincapié Rivera",01-Oct,1,Seed,12/01/2020,100000,USD,100000,Seed,100000,USD,100000,Seed,100000,USD,100000,100000,USD,100000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"71,421",48,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
TOMi,https://www.crunchbase.com/organization/tomi,EdTech,"Medellín, Antioquia, Colombia",Helps teachers to create interactive class flow even in offline classrooms in developing countries,"68,942",Latin America,,Active,15/01/2019,day,,,,,For Profit,http://www.tomidigital.com,,https://www.facebook.com/tomidigital/,https://www.linkedin.com/company/2639280,jm@tomidigital.com,5.73183E+11,,,,,,,,,,,,,,,,,"Education, Software",2,"Alejandro Sepulveda, Juan Manuel Lopera",Nov-50,1,Seed,01/04/2019,500000,USD,500000,Seed,500000,USD,500000,Seed,500000,USD,500000,500000,USD,500000,Aulas AMiGAS,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"71,578",8,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
Savy,https://www.crunchbase.com/organization/savy-2124,"Fitness, Marketplace, Wellness","Usaquén, Distrito Especial, Colombia",Savy is a marketplace to uberize the fitness & wellness industry by introducing classes and single entrance with dynamic pricing.,"69,157",Latin America,Less than $1M,Active,21/03/2018,day,,,,,For Profit,https://savy.co,,https://www.facebook.com/SAVY-2024018777870580/,https://www.linkedin.com/company/33297320/admin/,contacto@savy.co,(57) 304 637 60 96,,,Savy is a marketplace aiming to uberize the fitness industry by introducing classes with dynamic pricing. Savy also removes the membership barrier for those who don’t want to be tied to a plan. Our algorithm defines the optimal price per class for both user and fitness center. Our objective is to dynamize and revolutionize the pricing of the industry and become the most convenient way to workout. ,,,,,,,,,,,,,,"Commerce and Shopping, Health Care, Sports",3,"Christian Rochas, Felipe Moyano, Gaëtan Jacquemet",Nov-50,1,Seed,31/05/2019,300000,USD,300000,Pre-Seed,300000,USD,300000,Pre-Seed,300000,USD,300000,300000,USD,300000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"71,804",45,,,,,,,,,,,,Colombia,Usaquén,Distrito Especial,0
B2Chat,https://www.crunchbase.com/organization/b2chat,"Artificial Intelligence, Customer Service, Information Technology, Messaging, SaaS, Software","Medellín, Antioquia, Colombia",The most intuitive and powerful means for businesses to connect with their customers,"69,305",Latin America,,Active,01/11/2017,day,,,,,For Profit,http://www.b2chat.io/en/,,https://www.facebook.com/b2chat/,https://www.linkedin.com/company/22310384/admin/,pedro@b2chat.io,+57 312 2575612,,,"We are building the most intuitive and powerful means for businesses to connect with their customers using a combination of live agents and artificial intelligence-enabled interfaces. We achieve this through a multi-chat, multi-agent platform that allows businesses to consolidate messages from their customers from platforms including web chat, SMS, social media or their preferred IM. We also offer a series of prebuilt chatbots that integrate seamlessly into the client’s own IM channel to provide a self-service experience for applications such as answering frequently asked questions, creating support tickets or taking customer surveys.   By capturing the most direct point of contact between our clients and their customers, we are likewise building the infrastructure and capturing the data that can then be deployed for advanced features including customer discovery and satisfaction assessment, better understanding of the customer journey, fraud detection and user experience.  We will become the most complete and sophisticated means by which companies communicate with and come to understand their current and potential customers.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Science and Engineering, Software",1,Pedro Jaramillo,Nov-50,1,Seed,01/11/2017,300000,USD,300000,Seed,300000,USD,300000,Seed,300000,USD,300000,300000,USD,300000,Taurus Capital,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"71,958",32,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
TA Edison SAS,https://www.crunchbase.com/organization/ta-edison-sas,"Consumer Electronics, E-Commerce, Hardware","Bogotá, Distrito Especial, Colombia","Edison diseña, fabrica y vende productos electrónicos de consumo masivo. Nuestro producto estrella se llama Helmy.","70,004",Latin America,,Active,20/09/2020,day,,,,,For Profit,https://www.helmy.com.co/,https://twitter.com/SasEdison,https://www.facebook.com/Edison-SAS-111579294029916,https://www.linkedin.com/company/taedison,contactenos@taedison.tech,5719373083,4,,"Edison diseña, fabrica y vende los productos electrónicos de consumo masivo del futuro. Nuestro producto estrella se llama Helmy. Nosotros inventamos el futuro de la humanidad! Visítanos en www.helmy.com.co.",,,,,,,,,,,,,,"Commerce and Shopping, Consumer Electronics, Hardware",1,Mario Varon,01-Oct,1,Seed,20/09/2020,150000,USD,150000,Pre-Seed,150000,USD,150000,Pre-Seed,150000,USD,150000,150000,USD,150000,Mario Varon,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"72,692",26,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Chepe & Pepe,https://www.crunchbase.com/organization/chepe-pepe,"Consulting, E-Commerce, Information Technology","Medellín, Antioquia, Colombia",Professional Services Marketplace,"70,514",Latin America,,Active,04/01/2017,day,,,,,For Profit,http://www.chepeypepe.com,,https://www.facebook.com/chepeypepeoficial/,,gerente@chepeypepe.com,5.73149E+11,,,,,,,,,,,,,,,,,"Commerce and Shopping, Information Technology, Professional Services",,,Nov-50,3,Seed,18/01/2019,330000,USD,330000,Angel,330000,USD,330000,Angel,1160000,USD,1160000,1160000,USD,1160000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"73,227",11,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
MAT,https://www.crunchbase.com/organization/mat,"Apps, Ride Sharing, Transportation","Bogotá, Distrito Especial, Colombia",The world's first ride-sharing company to make every one of its drivers share-holders of the company.,"71,183",Latin America,,Active,19/02/2020,day,,,,,For Profit,https://gomat.co/mat/home,,https://www.facebook.com/gomat.co,https://www.linkedin.com/company/gomatco/,hola@gomat.co,+1 (831) 275-6971,,,"MAT is a driver focused app.  An alternative model to the conventional ride hailing industry, MAT allows drivers to become share-holders by implementing a Stock Purchasing Plan first in the industry, all this in order to provide a superior service experience to its user base.",,,,,,,,,,,,,,"Apps, Software, Transportation",4,"David Gomez, Johan Castellanos, Juan Loaiza, Miguel Trevino",Nov-50,1,Seed,01/03/2020,500000,USD,500000,Seed,500000,USD,500000,Seed,500000,USD,500000,500000,USD,500000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"73,939",52,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Mía,https://www.crunchbase.com/organization/mía,"Electric Vehicle, Last Mile Transportation, Transportation","Bogotá, Distrito Especial, Colombia",Mía Scooters is offering mobility as a subscription solution for electric scooters.,"72,024",Latin America,,Active,15/07/2019,day,,,,,For Profit,https://miascooters.com/,,https://www.facebook.com/miascootersco,,jose@miascooters.com,,,,"Mía Scooters is offering mobility as a subscription solution for electric scooters. The company provides Adopting Mine, a subscription wherein subscribers can rent a scooter for long terms. Clients can choose between weekly, monthly, quarterly, and even semi-annual plans. Once they adopt the scooter, the company takes it to the client's home with its charger. Daniel Bernal and José Chávez established the company in Bogotá, Distrito Especial.",,,,,,,,,,,,,,Transportation,2,"Daniel Bernal, José Chávez",01-Oct,1,Seed,23/11/2019,145000,USD,145000,Pre-Seed,145000,USD,145000,Pre-Seed,145000,USD,145000,145000,USD,145000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"74,822",6,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Cycle,https://www.crunchbase.com/organization/cycle-7f3f,"Artificial Intelligence, Communities, Internet, Internet of Things, Renewable Energy, Solar","Bogotá, Distrito Especial, Colombia",Cycle is a platform that turns renewable energy systems profitable for the householders in off-grid communities.,"73,323",Latin America,,Active,01/01/2018,year,,,,,For Profit,https://www.cyclesystem.org,https://twitter.com/system_cycle,http://facebook.com/cyclesystems/,https://www.linkedin.com/company/cycle-system,hello@cyclesystem.org,-855,10,,"Cycle is a platform that allows the homes of remote communities with access to renewable energy sources, to make its generation profitable. Our smart system connects all the homes of a community; it recognizes which home has an energy surplus, which home needs additional energy of what it’s producing, and it sends it through the network.  The home that shared its energy instantly receives a proportional profit of the energy sent. Our system is supported by three, 4th generation technologies; IoT, Blockchain and Artificial Intelligence, which helps to provide a robust system for the families of underdeveloped communities to be confident to make secure transactions and generate additional income.",,,,,,,,,,,,,,"Artificial Intelligence, Community and Lifestyle, Data and Analytics, Energy, Internet Services, Natural Resources, Science and Engineering, Software, Sustainability",3,"David Castaño, Kevin Felipe Gutierrez Martinez, Nicolas Cuadrado",01-Oct,1,,13/02/2018,150000,USD,150000,Grant,,,,,,,,150000,USD,150000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,2,"76,187",34,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
QUEO,https://www.crunchbase.com/organization/queo,"Information Technology, Software","Bogotá, Distrito Especial, Colombia",Platform that enables booking  and access to unused parking spots,"73,571",Latin America,,Active,16/07/2016,day,,,,,For Profit,https://queo.com.co/,https://www.twitter.com/queocolombia/,https://www.facebook.com/queocolombia/,https://www.linkedin.com/company/10859593/admin/,mateo@queo.com.co,+57 3108501990,,,QUEO is a platform that enables booking and access to private and public parking spots. We envision to be Latam's biggest parking platform and making sure that the process finding a parking is as fast and hustle free as possible.,,,,,,,,,,,,,,"Information Technology, Software",1,Mateo Jimenez,Nov-50,1,Seed,03/12/2018,270000,USD,270000,Seed,270000,USD,270000,Seed,270000,USD,270000,270000,USD,270000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"76,450",37,,,18,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
ESCALA EDUCACION,https://www.crunchbase.com/organization/escala-educacion,"Education, Finance, Financial Services","Medellín, Antioquia, Colombia",ESCALA offers long-term savings plans for higher education to employees and close the access gap in Colombia,"74,990",Latin America,Less than $1M,Closed,15/08/2015,day,,,31/12/2019,day,For Profit,http://www.escalaeducacion.com,https://www.twitter.com/escalaeducacion,https://www.facebook.com/escalaeducacion,https://www.linkedin.com/company/escala-educacion,info@escalaeducacion.com,(574)604-6724,,,"ESCALA Educación is a social enterprise that promotes access to higher education and financial inclusion by offering enhanced saving plans with educational benefits. ESCALA partners with companies and becomes their main educational benefits provider, through which employees save through their paychecks for education either for themselves or their children. These savings are coupled with company matching funds, tuition discounts, career counseling and other education benefits that make higher education accessible for all.",,,,,,,,,,,,,,"Education, Financial Services",3,"Andrea Echavarria Mazuera, Jonathan Duarte, Juliana Uribe Villegas",Nov-50,2,Seed,11/10/2017,700000,USD,700000,Seed,700000,USD,700000,Seed,700000,USD,700000,800000,USD,800000,"Accion Venture Lab, Catalyst Fund, EWA Capital, Invictum Capital",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"77,935",6,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
Work.r,https://www.crunchbase.com/organization/work-r,"Artificial Intelligence, Machine Learning","Bogotá, Distrito Especial, Colombia",Work.r is a machine learning company that builds easy to adopt ML solutions that propel revenue growth and improve customer experiences,"76,340",Latin America,,Active,01/01/2018,year,,,,,For Profit,http://www.workr.com.co,,https://www.facebook.com/workr.com.co/,https://www.linkedin.com/company/workr-ai/,laureano.diaz@workr.com.co,+57 3204498465,,,Work.r is a machine learning company that builds easy to adopt ML solutions - Cognitive Agents - that propel revenue growth and improve customer experiences,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",4,"Daniel Laverde, Fabio Rodriguez, Jose Diaz, Laureano Díaz",Nov-50,2,Seed,01/06/2020,250000,USD,250000,Seed,250000,USD,250000,Seed,600000,USD,600000,600000,USD,600000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"79,360",17,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
trii,https://www.crunchbase.com/organization/trii,FinTech,"Bogotá, Distrito Especial, Colombia",trii is the first stock trading app in Colombia,"76,394",Latin America,,Active,07/03/2019,day,,,,,For Profit,https://trii.co,https://twitter.com/somostrii,https://web.facebook.com/somostrii/,https://www.linkedin.com/company/somostrii/,esteban@trii.co,5.73118E+11,,,trii partnered with prominent financial institutions to develop Colombia's first trading app.,,,,,,,,,,,,,,Financial Services,3,"Carlos Guayara, Esteban Peñaloza, Luis Patt",Nov-50,2,Seed,10/12/2019,200000,USD,200000,Pre-Seed,200000,USD,200000,Pre-Seed,250000,USD,250000,250000,USD,250000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"79,414",12,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
AllFreed,https://www.crunchbase.com/organization/allfreed,"Apps, E-Commerce, Retail","Medellín, Antioquia, Colombia",Todos tus privilegios en un solo sitio,"77,461",Latin America,,Active,01/01/2012,year,,,,,For Profit,http://www.allfreed.co/,http://twitter.com/allfreed_App,http://www.facebook.com/pages/Allfreed/546698845354068,,,,,,"AllFreed es una aplicación móvil que agrupa todos los puntos, millas en beneficios y descuentos de tus marcas preferidas en un solo lugar.",,,,,,,,,,,,,,"Apps, Commerce and Shopping, Software",2,"Jorge Torres, Juan Alejandro",01-Oct,1,Seed,01/06/2013,91000000,COP,47784,Seed,91000000,COP,47784,Seed,91000000,COP,47784,91000000,COP,47784,Wayra,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"80,536",7,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
Kiosco,https://www.crunchbase.com/organization/kiosco,,"Mosquera, Cundinamarca, Colombia",Plataforma líder de Cundinamarca para domicilios en Supermercados y Restaurantes a un solo clic!,"77,728",Latin America,,Active,01/01/2019,year,,,,,For Profit,https://www.kiosco.co,,https://www.facebook.com/kiosco.co,https://www.linkedin.com/company/kiosco-co/,jean.osorio@kiosco.co,,,,,,,,,,,,,,,,,,,1,Jean Paul Osorio,Nov-50,2,Seed,04/05/2020,400000,USD,400000,Seed,400000,USD,400000,Seed,600000,USD,600000,600000,USD,600000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"80,820",11,,,,,,,,,,,,Colombia,Mosquera,Cundinamarca,0
Tourbitz,https://www.crunchbase.com/organization/tourbitz,"SaaS, Software, Tourism, Travel","Bogotá, Distrito Especial, Colombia",Tourbitz is a booking and distribution system of tours and activities.,"79,232",Latin America,,Active,07/03/2018,day,,,,,For Profit,https://app.tourbitz.com/signup,,https://www.facebook.com/tourbitz/,https://www.linkedin.com/company/tourbitz/,eduardo@tourbitz.com,+57 3173802917,,,"Tourbitz is a Software as a Service (SaaS) for tour operators that helps them by providing them with tools to be more efficient and scale their business easily. Tourbitz provides them with a platform where they can upload their inventory and supplier's list, a booking system, and an API that helps them to connect directly to their website or to the leading travel agencies worldwide.",,,,,,,,,,,,,,"Software, Travel and Tourism",1,Eduardo Maldonado,01-Oct,2,Seed,22/05/2019,60000,USD,60000,Pre-Seed,60000,USD,60000,Pre-Seed,60000,USD,60000,140000,USD,140000,"500 Startups, Kiwi.com Ventures s.r.o., Camilo Jimenez",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"82,410",23,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Ecociclus,https://www.crunchbase.com/organization/ecociclus,"Auctions, Recycling, Waste Management","Bogotá, Distrito Especial, Colombia",Ecociclus is headquartered in Colombia.,"79,311",Latin America,Less than $1M,Active,01/01/2013,year,,,,,For Profit,http://www.ecociclus.com/,http://twitter.com/Ecociclus,http://www.facebook.com/ecociclus,http://www.linkedin.com/company/ecociclus,simonramon@ecociclus.com,+57 312 4293579,,,"Ecociclus is the virtual waste market that allows companies, as generators of recyclable waste, potentially recyclable and non-recyclable waste or Buying raw materials; identify within a virtual auction market, the most competitive alternative marketing, sale, management or disposal of waste and waste materials that could be incorporated into production processes.  Ecociclus waste is the marketplace for enterprises to find competitive and responsible buyers / users, sellers and disposal services for waste: every possible solution for net, net net Potentially and not waste.",,,,,,,,,,,,,,"Commerce and Shopping, Sustainability",3,"Fabio Ramon, Juan Delgado, Ramon Simon",01-Oct,2,Seed,01/06/2014,40000,USD,40000,Seed,40000,USD,40000,Seed,87950,USD,87950,87950,USD,87950,"Wayra, Start-Up Chile",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"82,496",20,,,11,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
NIPU,https://www.crunchbase.com/organization/nipu,,"Medellín, Antioquia, Colombia",NIPU is a virtual coach that guides in understanding and choosing what to study in the tech world.,"79,315",Latin America,,Active,01/01/2016,year,01/01/2020,day,,,For Profit,https://nipu.co/,,https://www.facebook.com/nipuai/,https://www.linkedin.com/company/nipuai/,,,1,,"Nipu is a virtual coach that guides in understanding and choosing what to study in the tech world. Nipu can help in starting a professional career in tech, improve skills in order to be hired quickly, and expand tech knowledge.  Nipu was founded in 2016 and is headquartered in Medellin, Colombia.",,,,,,,,,,,,,,,2,"Maribel Corrales, Samuel Urquijo",01-Oct,1,M&A,22/01/2019,300000,USD,300000,Seed,300000,USD,300000,Seed,300000,USD,300000,300000,USD,300000,COLABORATIVOx,1,1,,Was Acquired,NIPU acquired by Keybe,https://www.crunchbase.com/acquisition/keybe-acquires-nipu--fa50004d,Keybe,https://www.crunchbase.com/organization/keybe,01/01/2020,day,,,,Acquisition,Cash & Stock,Private,,,,,,,,,,,,,,,"82,501",22,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
Deleyes,https://www.crunchbase.com/organization/deleyes,"Consulting, Information Technology, Legal, Legal Tech, Software","Bogotá, Distrito Especial, Colombia",Deleyes provides automated legal services.,"79,524",Latin America,,Active,02/08/2017,day,,,,,For Profit,https://www.deleyes.com/,https://twitter.com/deleyesonline,https://www.facebook.com/deleyesonline/,https://www.linkedin.com/company/deleyes/,administrador@deleyes.com,+57 1 5086191,,,The first and only technology-based legal partner of individuals and companies in Colombia,,,,,,,,,,,,,,"Information Technology, Professional Services, Software",1,Cristhian Fresen,Nov-50,1,Seed,02/10/2017,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,1000000,USD,1000000,1000000,USD,1000000,"InQlab, Other Corporate Investors",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"82,724",50,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Bazurto,https://www.crunchbase.com/organization/bazurto,"E-Commerce, Food and Beverage, Logistics, Software","Cartagena, Bolivar, Colombia","Marketplace, E-commerce, Mobile App, Payments, legal documents.","79,604",Latin America,,Active,13/11/2019,day,,,,,For Profit,http://bazurto.com.co,,,,bazurtonline@gmail.com,,,,Bazurto is a B2B marketplace for farmers and  buyers.,,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage, Software, Transportation",,,01-Oct,2,Seed,01/08/2020,15000,USD,15000,Pre-Seed,15000,USD,15000,Pre-Seed,55000,USD,55000,55000,USD,55000,Apps.co,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"82,807",32,,,,,,,,,,,,Colombia,Cartagena,Bolivar,0
Pina Media,https://www.crunchbase.com/organization/pina-media-inc,"Advertising, Email Marketing, Internet, SEO, Social Media Marketing","Medellín, Antioquia, Colombia",Pina Media provides its clients with effective and measurable digital advertising solutions.,"80,061",Latin America,,Active,01/01/2015,year,,,,,For Profit,http://pinamediainc.com/,https://twitter.com/pina_media,https://www.facebook.com/pinamediainc/,https://www.linkedin.com/company/pina-media-inc/,info@pinamediainc.com,,,,"Pina Media provides its clients with effective and measurable digital advertising solutions. It is a next-generation performance-based marketing company. They leverage their exclusive offers and seasoned expertise. Pina Media expands advertisers' targeted global reach, maximizing return on investment for advertisers and publishers. Pina Media continually paves the way for effective online performance-based marketing, developing lucrative marketing strategies for media buys and search engine management for some of the most recognizable brands worldwide. Adapting strategies to meet each client's individual needs. Pina Media was founded in 2015 and is headquartered in Medellín, Colombia.",,,,,,,,,,,,,,"Advertising, Internet Services, Sales and Marketing",,,01-Oct,1,Seed,04/02/2015,5000000,USD,5000000,Seed,5000000,USD,5000000,Seed,5000000,USD,5000000,5000000,USD,5000000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"83,295",11,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
2Transfair,https://www.crunchbase.com/organization/2transfair,"Consumer, Financial Services, FinTech, Payments","Bogotá, Distrito Especial, Colombia",2Transfair is a global transactional network allowing people to send money anywhere in the world.,"82,081",Latin America,Less than $1M,Active,01/01/2017,year,,,,,For Profit,http://2transfair.com/,https://twitter.com/2transfair,https://www.facebook.com/2transfairlatam/,https://www.linkedin.com/company/2transfair/,hello@2transfair.com,+57 300 8025095,,,2Transfair is a global transactional network allowing people to send money anywhere in the world. It is made up of business professionals with +10 years of experience in electronic transaction processing and +35 in the traditional financial sector.,,,,,,,,,,,,,,"Financial Services, Other, Payments",1,Alvaro Barrios Páez,01-Oct,1,Seed,04/05/2018,40000,USD,40000,Pre-Seed,40000,USD,40000,Pre-Seed,40000,USD,40000,40000,USD,40000,Start-Up Chile,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"85,448",63,,,22,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Espacios Digitales IoT,https://www.crunchbase.com/organization/espacios-digitales-iot,"Banking, Internet of Things, Logistics, Retail, Retail Technology, Software","Bogotá, Distrito Especial, Colombia","Enterprise IoT Platform. We quickly connect things to the internet, by using our IoT technology, to optimize corporate processes.","82,336",Latin America,,Active,01/10/2017,day,,,,,For Profit,http://espaciosdigitales.co,,,https://www.linkedin.com/company/espacios-digitales-iot/,info@espaciosdigitales.co,,5,,"We quickly connect things to the internet, by using our technology which we customize on each use case, to optimize corporate processes. We connect things for business.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Hardware, Internet Services, Lending and Investments, Software, Transportation",3,"Felipe Rueda, Guillermo Andres Hernandez, Nicolas Monroy",01-Oct,1,Seed,11/08/2019,150000,USD,150000,Seed,150000,USD,150000,Seed,150000,USD,150000,150000,USD,150000,"Wayra, DMZ",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"85,714",43,,,12,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
ComparaMejor.com,https://www.crunchbase.com/organization/comparamejor-com,"Financial Services, Insurance, Internet, Price Comparison","Bogotá, Distrito Especial, Colombia",ComparaMejor.com is an independent comparison website specialized in financial products and insurance policies.,"82,891",Latin America,$1M to $10M,Active,01/01/2011,year,,,,,For Profit,https://www.comparamejor.com,https://www.twitter.com/comparamejor,https://www.facebook.com/comparamejor,https://www.linkedin.com/company/comparamejor,soporte@comparamejor.com,+57 7561234,,,"ComparaMejor.com is an independent comparison website specialized in financial products and insurance policies. As an online insurance broker, the platform enables its users to get a quote in real-time and buy their policy in minutes. ComparaMejor.com has commercial agreements with 14 insurance companies and a call center to provide advice over the phone. It is based in Bogotá, Distrito Especial.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Internet Services",2,"Erick Brimen, Fernando Sucre Schnell",51-100,2,Seed,01/12/2012,635000,USD,635000,Angel,635000,USD,635000,Angel,815000,USD,815000,815000,USD,815000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"86,298",38,,,23,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
ASH Capital,https://www.crunchbase.com/organization/ash-capital,"Finance, Financial Services, FinTech, Hedge Funds","Barranquilla, Atlantico, Colombia","We build quantitative trading systems, with extraordinary returns in different financial markets.","83,273",Latin America,,Active,01/01/2016,year,,,,,For Profit,http://ashcapital.co,https://twitter.com/ash_capital?lang=es,,https://www.linkedin.com/company/ashcapitalco/,info@ashcapital.co,6464010212,,,"We build quantitative trading systems, with extraordinary returns in different financial markets. We use science to determine profitable movements in the market and build systems that generate returns over time. We are a company with social conscience, human beings have a greater task than building capital and we are sure that machines can do better, while we take care of people",,,,,,,,,,,,,,"Financial Services, Lending and Investments",,,01-Oct,1,Seed,20/01/2016,180000,USD,180000,Pre-Seed,180000,USD,180000,Pre-Seed,180000,USD,180000,180000,USD,180000,Cesar Agudelo,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"86,702",12,,,,,,,,,,,,Colombia,Barranquilla,Atlantico,0
StartOp,https://www.crunchbase.com/organization/startop,"CRM, Enterprise Resource Planning (ERP), Information Technology, SaaS, Software","Bogotá, Distrito Especial, Colombia",Cloud CRM+ERP SaaS for SME's in Latin America.,"84,488",Latin America,,Active,14/03/2018,day,,,,,For Profit,https://www.startop.co,,https://www.facebook.com/startopco/,https://www.linkedin.com/company/startop-co/,info@startop.co,5.73017E+11,1,,We help Small and Medium Businesses grow and thrive in Latin America by providing the platform they need to digitalize and integrate their company's information and teams. Our Cloud Software as a Service merges CRM and ERP technologies to make sure information flows seamlessly across the organization.,,,,,,,,,,,,,,"Information Technology, Sales and Marketing, Software",3,"David Aponte, Santiago Garzón Muñoz, Santiago Rojas Montoya",01-Oct,1,Seed,31/07/2018,85000,USD,85000,Pre-Seed,85000,USD,85000,Pre-Seed,85000,USD,85000,85000,USD,85000,Carlos Fernández de la pradilla,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"87,994",30,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
