,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Country,City,State,isInTop100
186,Vitaclick,https://www.crunchbase.com/organization/vitaclick,"Health Care, Information Technology, Web Design, Web Development","Chía, Cundinamarca, Colombia",Vitaclick is a online doctor appointment scheduling platform,"133,489",Latin America,,Closed,2013-01-01,day,,,2017-01-01,day,For Profit,https://vitaclick.com,,,,,,,,,,,,,,,,,,,,,,"Design, Health Care, Information Technology, Software",1.0,Dimitri Neufeld,1-10,1.0,,2016-06-01,35000,USD,35000.0,Grant,,,,,,,,35000.0,USD,35000.0,Innpulsa Colombia,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"140,384",4.0,,,11.0,,,,,,,,,Colombia,Chía,Cundinamarca,0
187,OFERTALDIA,https://www.crunchbase.com/organization/ofertaldia,"E-Commerce, Local","Bogotá, Distrito Especial, Colombia",Ofertaldia enables its users to receive available offers and deals on their smartphones based on their preferences and geo-localization.,"135,299",Latin America,$1M to $10M,Active,2011-02-01,day,,,,,For Profit,http://www.ofertaldia.com/,http://twitter.com/ofertaldia,http://www.facebook.com/OFERTALDIA,http://www.linkedin.com/company/2343516,,,,,"OFERTALDIA brings you the best offers and temptations available in your city based exclusively on your own pre-defined preferences ! OFERTALDIA is focused on bringing benefits to both users and partners.  We provide an additional sales and Internet presence channel for our partners while simplifying the lives of thousands of users providing them access to the best offers in their local communities. Users can personalize receipt of offers based on location and/or activity type (leisure, gastronomy, travel, hotels, etc.) directly on their smartphones (iPhone, Android & Blackberry) and according to preferences and geo-localization.",,,,,,,,,,,,,,"Commerce and Shopping, Sales and Marketing",1.0,Javier E. Gonzalez,11-50,2.0,Seed,2012-06-01,180000,USD,180000.0,Seed,180000.0,USD,180000.0,Seed,280000.0,USD,280000.0,280000.0,USD,280000.0,VentureSpec,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"142,349",16.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
188,PanTrek,https://www.crunchbase.com/organization/pantrek,"Transportation, Travel","Medellín, Antioquia, Colombia",Search engine for booking inter-city bus tickets,"135,886",Latin America,Less than $1M,Active,2015-04-01,month,,,,,For Profit,http://www.pantrek.com,http://twitter.com/GoPanTrek,https://www.facebook.com/GoPanTrek/,https://www.linkedin.com/company/3148325,info@pantrek.com,,7,,"PanTrek is a free search engine for booking inter-city bus tickets in Latin America. Search in-depth company profiles, user reviews, & ratings to book the best route that fulfills your travel needs, whether you are a backpacker, local, or tourist.  PanTrek also enables you to connect with friends / travelers so you can plan your trip with others.",,,,,,,,,,,,,,"Transportation, Travel and Tourism",3.0,"Alejandro Toro, David Feldsott, Juan Carlos Rodriguez",1-10,1.0,Seed,2015-12-03,25000,USD,25000.0,Pre-Seed,25000.0,USD,25000.0,Pre-Seed,25000.0,USD,25000.0,25000.0,USD,25000.0,Travel Startups Incubator,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"142,969",6.0,,,9.0,,,,,,,,,Colombia,Medellín,Antioquia,0
189,Granos Andinos de Colombia,https://www.crunchbase.com/organization/granos-andinos-de-colombia,"Agriculture, AgTech","Bogotá, Distrito Especial, Colombia",Granos Andinos de Colombia serves as a supplier of quinoa products in Colombia.,"138,041",Latin America,,Active,2014-01-01,year,,,,,For Profit,http://www.granosandinos.com/,,,,diego@granosandinos.com,+573159274990,,,Granos Andinos de Colombia serves as a supplier of quinoa products in Colombia.,,,,,,,,,,,,,,Agriculture and Farming,1.0,Diego Santana,11-50,1.0,Seed,2015-07-30,67000,USD,67000.0,Seed,67000.0,USD,67000.0,Seed,67000.0,USD,67000.0,67000.0,USD,67000.0,T2M Holding,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"145,326",10.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
190,Medpike,https://www.crunchbase.com/organization/medpike,"Fitness, Health Care, Medical","Bogotá, Distrito Especial, Colombia",MedPike is a cloud-based application that connects ambulatory doctors to the daily life of their patients.,"139,058",Latin America,,Active,2014-01-01,year,,,,,For Profit,http://medpike.com/site/,https://twitter.com/medpike,https://www.facebook.com/medpike,,,,,,"MedPike is a cloud-based application that connects ambulatory doctors to the daily life of their patients. While doctors can streamline the outpatient care, patients can store and organize their entire health history in a shareable medical cloud. It is available in both PC and mobile versions. MedPike is based in Bogota, Colombia.",,,,,,,,,,,,,,"Health Care, Sports",1.0,Miguel Angarita,1-10,1.0,,2014-05-21,13832,EUR,18931.0,Convertible Note,,,,,,,,13832.0,EUR,18931.0,Wayra,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"146,432",21.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
191,PTK S.A.S.,https://www.crunchbase.com/organization/ptk-s-a-s,"CRM, E-Commerce, E-Commerce Platforms","Cali, Valle del Cauca, Colombia","PTK develops enterprise solutions that help companies automatize processes and optimize their vending processes like WMS, SAP and Ecommerce.","139,662",Latin America,$1M to $10M,Active,2009-08-14,day,,,,,For Profit,http://www.ptk.com.co/en/,https://www.twitter.com/ptk_sas,https://www.facebook.com/ptk.sas,https://www.linkedin.com/company/ptk-s-a-s-,ptk@ptk.com.co,320 695 9439,,,"PTK is a team of around 20 that is focused on building enterprise solutions. We built & sell a ""traditional"" WMS for SAP Business One & other ERPs but a year ago came to the conclusion that todays WMS market needs to be disrupted and changed for good",,,,,,,,,,,,,,"Commerce and Shopping, Information Technology, Internet Services, Sales and Marketing, Software",1.0,Thomas Kircheis,11-50,1.0,Seed,2015-10-01,400000,USD,400000.0,Angel,400000.0,USD,400000.0,Angel,400000.0,USD,400000.0,400000.0,USD,400000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"147,094",17.0,,,6.0,,,,,,,,,Colombia,Cali,Valle del Cauca,0
192,Usetime,https://www.crunchbase.com/organization/usetime,"Apps, Internet, SaaS, Software","Bogotá, Distrito Especial, Colombia",Usetime is an application that manages productivity and projects involving staff and remote attendance.,"140,787",Latin America,Less than $1M,Active,2013-01-01,year,,,,,For Profit,http://usetime.co,https://twitter.com/usetimeco,https://www.facebook.com/pages/Usetime/746140758737605,http://co.linkedin.com/pub/usetime-aliado-para-el-teletrabajo/92/58/617,ventas@usetime.co,3002280279,,,"Usetime is an application that manages productivity and projects involving staff and remote attendance. Usetime allows viewing from any device automatic evolution of projects and tasks assigned Gantt charts or timelines containing updated information on the progress, time spent on each activity and serves as a repository for documents or deliverables generated by equipment work for each project.  Usetime displays a panel centrally emails, calendars, activities or pending projects and productivity indicators for ease and efficiency. Usetime is an indispensable support for the introduction of flexible working patterns, such as teleworking, which in turn generates cost savings for individuals and businesses and increases quality of life and performance.",,,,,,,,,,,,,,"Apps, Internet Services, Software",1.0,Alexandra Gamarra,1-10,1.0,,2014-08-01,30437,EUR,40872.0,Venture - Series Unknown,30437.0,EUR,40872.0,Venture - Series Unknown,30437.0,EUR,40872.0,30437.0,EUR,40872.0,Wayra,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"148,327",31.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
193,Mobii,https://www.crunchbase.com/organization/mobii,"Apps, Real Estate","Bogotá, Distrito Especial, Colombia",Mobii is a webapp specifically designed for real estate agents,"143,476",Latin America,Less than $1M,Active,2014-01-01,year,,,,,For Profit,http://mobii.co/,http://twitter.com/Mobiico,http://www.facebook.com/pages/Mobii/653386938082149,http://www.linkedin.com/company/3011547,,,,,"Mobii is a webapp specifically designed for real estate agents that allows them to easily fill out details, take photos on the scene, manage their properties portfolio, clients requirements, and to collaboratively work with other real estate agents. All from any device.",,,,,,,,,,,,,,"Apps, Real Estate, Software",3.0,"Daniel Artunduaga, Daniel Vargas, Sebastian Trujillo",1-10,1.0,Seed,2014-06-01,40000,USD,40000.0,Seed,40000.0,USD,40000.0,Seed,40000.0,USD,40000.0,40000.0,USD,40000.0,Start-Up Chile,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"151,298",1.0,,,8.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
194,tuta.co,https://www.crunchbase.com/organization/tuta-co,"Apps, E-Commerce, Marketplace, Online Portals","Bogotá, Distrito Especial, Colombia","tuta.co is an online marketplace for users to buy, sell, and request for creative and strange services.","145,529",Latin America,,Closed,2012-02-15,day,,,2014-03-30,day,For Profit,http://tuta.co,http://twitter.com/tutadotco,http://www.facebook.com/tutadotco,,hello@tuta.co,+573103411062,1,,"tuta.co: is the online marketplace for plain weird services. With tuta.co, anybody can buy, sell or even request these creative, fun, or even strange services (like hidden camera pranks, personal paparazzi, digital serenades, and more) for others to buy, personalize and share. tuta.co offers a whole world of options, a new way to generate impact in your social network, and a new type of entertainment in which everyday people can be the stars.",,,,,,,,,,,,,,"Apps, Commerce and Shopping, Internet Services, Software",2.0,"Andrés Manrique Ferreira, Juan Camilo Canal Schlesinger",1-10,1.0,Seed,2012-08-01,50000,USD,50000.0,Seed,50000.0,USD,50000.0,Seed,50000.0,USD,50000.0,50000.0,USD,50000.0,Wayra,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"153,554",21.0,,,4.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
195,Eslik,https://www.crunchbase.com/organization/ipesa,"Internet, Security, Tourism, Travel","Bogotá, Distrito Especial, Colombia",An app for preventive protection in Colombia,"146,718",Latin America,,Active,2014-11-13,day,,,,,For Profit,http://www.eslik.co,,http://www.facebook.com/Eslikapp,,info@ipesa.co,+573142313428,,,"Eslik is a platform that connects their customers with qualified personnel that offers protection for your safety needs. Bogota as the capital of Colombia and one of the mains cities in Latin America has a lot to offer, the economic growth, gastronomic choices and great landmarks make the city one of the top choices for travellers.  When you are making bank transactions? When you´re in business with people you don't know? Do you want to visit all places in the city and want to feel safe? or even when you are on a party? Now you can get safety a click away, it's simple, place your location, ask for an expert operator in preventive protection and allow yourself to feel safe.",,,,,,,,,,,,,,"Internet Services, Privacy and Security, Travel and Tourism",1.0,Vytautas Klimavicius,1-10,1.0,,2015-04-01,500000,USD,500000.0,Grant,,,,,,,,500000.0,USD,500000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"154,849",9.0,,,8.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
196,codetag,https://www.crunchbase.com/organization/codetag,"Career Planning, Education, Skill Assessment, Software","Bogotá, Distrito Especial, Colombia",Codetag is a platform that enables code developers to measure and improve their programming skills.,"147,626",Latin America,,Closed,2012-08-09,day,,,2014-03-30,day,For Profit,http://codetag.me,http://twitter.com/codetagme,http://www.facebook.com/codetag,,info@codetag.me,573014311354,,,"Codetag is the place to find developers with amazing skills Good developers are a rare breed to find, they hangout mostly with other good developers, they are rarely looking for a job, they like to work during the day and Work during the night, they like to compete, they assist, hold and create hacking events, at Codetag we gather all this information to create a fun experience for them to improve their skills and show off their amazing abilities",,,,,,,,,,,,,,"Education, Professional Services, Software",4.0,"David Roncancio, Giovanny Beltran, Gustavo Angulo, Julian Vargas",11-50,1.0,Seed,2012-09-11,50000,USD,50000.0,Seed,50000.0,USD,50000.0,Seed,50000.0,USD,50000.0,50000.0,USD,50000.0,Wayra,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"155,849",23.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
197,Houstronomy,https://www.crunchbase.com/organization/houstronomy,,"Bogotá, Distrito Especial, Colombia",Technological platform that unites users with people willing to provide and teach food services in their homes,"147,969",Latin America,,Active,2019-09-04,day,,,,,For Profit,https://www.houstronomy.com,,,,,,,,,,,,,,,,,,,,,,,1.0,Sebastián Arias Gómez,1-10,1.0,Seed,2019-09-30,100000,USD,100000.0,Seed,100000.0,USD,100000.0,Seed,100000.0,USD,100000.0,100000.0,USD,100000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"156,219",,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
198,SinRopa,https://www.crunchbase.com/organization/quiickly,"E-Commerce, Sex Industry","Cali, Valle del Cauca, Colombia",SinRopa is a subscription service promoting safe sex and new experiences for couples.,"156,153",Latin America,,Active,2015-07-10,day,,,,,For Profit,http://sinropa.cl,,https://www.facebook.com/quiickly?_rdr=p,https://www.linkedin.com/company-beta/16258795/,m@sinropa.cl,+56931154020,10,,"Latam company with operations in Chile (SinRopa) and Colombia (Quiickly)  that promotes safe sex with fun boxes and products that provide new experiences for couples. Sinropa was born in July 2015 as an innovative solution for those intimate moments, providing love and fun in one box, a special option for him, for her, for everyone. Seeking to offer a new way to love, embrace the Latam market as a whole to deal with sex education and generate new forms of awareness that promote a dignified and safe sexuality in society. The brand focuses on responsible sexuality, offering boxes designed especially for those couples looking to enjoy their privacy, leave routines and protected. mixing the best brands and a great team in one place to guarantee for customers the best experience.",,,,,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle",1.0,Miguel Rengifo,1-10,1.0,,2016-12-06,35000,USD,35000.0,Grant,,,,,,,,35000.0,USD,35000.0,Start-Up Chile,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"165,227",11.0,,,,,,,,,,,,Colombia,Cali,Valle del Cauca,0
199,Tus reQRdos,https://www.crunchbase.com/organization/tusreqrdos,"Digital Media, Social Media, Social Network","Medellín, Antioquia, Colombia","TusReQRdos is the site where you can create an ""Online Memory"" to honor and remember the lives of your loved ones.","156,877",Latin America,,Active,2014-03-01,day,,,,,For Profit,http://tusreqrdos.com,http://twitter.com/TusreQRdos,http://www.facebook.com/tusreqrdos,https://www.linkedin.com/company/3745746,info@tusreqrdos.com,+5215561370808,4,,"TusReQRdos is the site where you can create an Online Memorial to honor and remember the life of your loved ones. Your reQRdos.com ""Online Memory"" does not remove any memory unless it is requested by the family. Your ""Online Memory"" will remain until fulfilled the three years of its creation, at which time you will receive a notification that you renew your membership.",,,,,,,,,,,,,,"Internet Services, Media and Entertainment",3.0,"David Maya, Luz Cadavid, Ron Oliver",1-10,1.0,Seed,2014-03-01,25000,USD,25000.0,Seed,25000.0,USD,25000.0,Seed,25000.0,USD,25000.0,25000.0,USD,25000.0,NXTP Ventures,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"166,005",7.0,,,4.0,,,,,,,,,Colombia,Medellín,Antioquia,0
200,NUA Technology,https://www.crunchbase.com/organization/nua-technology,Information Technology,"Bogotá, Distrito Especial, Colombia",NUA Technology is a family of products as a service that allows companies to improve customer service in an agile and efficient way.,"159,385",Latin America,,Active,2018-01-10,day,,,,,For Profit,http://www.nuatechnology.com,https://twitter.com/nuatechnology,https://www.facebook.com/nuatechnology/,https://www.linkedin.com/company/nuatechnology,felipe.diaz@nuatechnology.com,,,,NUA Technology is a family of products as a service that allows companies to improve customer service in an agile and efficient way. It offers Smart Customer Service Assistant powered by AI. Its purpose is to support organizations in their innovation processes and digital transformation through the adoption of new technologies enhancing companies' efficiency in a competitive global market.,,,,,,,,,,,,,,Information Technology,2.0,"Carlos Bálcazar Cardenas, Felipe Díaz Sánchez",1-10,1.0,Seed,2019-08-01,40000,USD,40000.0,Angel,40000.0,USD,40000.0,Angel,40000.0,USD,40000.0,40000.0,USD,40000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"168,768",23.0,,,7.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
201,StartupCali,https://www.crunchbase.com/organization/startupcali,"Marketplace, Product Design, Real Estate","Cali, Valle del Cauca, Colombia",StartupCali is a website where web designers and marketers can network and collaborate.,"164,346",Latin America,,Closed,,,,,2016-12-31,day,For Profit,http://www.startupcali.co/,https://twitter.com/StartupCali/,https://www.facebook.com/startupcali,,blake.newman@inqbation.com,,,,"At StartupCali on the weekend of 10-12 Oct 2014, they designed, developed, and deployed www.CaliCasa.com, an online real estate marketplace for Colombia",,,,,,,,,,,,,,"Commerce and Shopping, Design, Real Estate",4.0,"Andres Gonzalez, Blake Newman, Daniel Garcia, Luis Cuellar",51-100,1.0,Seed,2014-09-01,40000,USD,40000.0,Pre-Seed,40000.0,USD,40000.0,Pre-Seed,40000.0,USD,40000.0,40000.0,USD,40000.0,inQbation Labs,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"174,236",7.0,,,3.0,,,,,,,,,Colombia,Cali,Valle del Cauca,0
202,Downloadperu.com,https://www.crunchbase.com/organization/downloadperu-com-2,"News, Publishing","Perú, Valle del Cauca, Colombia","Downloadperu.com designs and develops a platform for digital publishing, consulting, and distribution.","165,405",Latin America,,Active,2013-01-01,year,,,,,For Profit,http://www.downloadperu.com/,https://twitter.com/DownloadPeru,https://www.facebook.com/DownloadPeru,,,,,,"Downloadperu is an online retailer that enables its users to purchase books, music, and movies. It was launched in 2013 and is based in Peru.",,,,,,,,,,,,,,"Content and Publishing, Media and Entertainment",,,1-10,2.0,,2015-04-01,137000,PEN,44254.0,Grant,,,,,,,,92938.0,USD,92938.0,Wayra,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"175,390",5.0,,,,,,,,,,,,Colombia,Perú,Valle del Cauca,0
203,Oppten,https://www.crunchbase.com/organization/oppten,"Consulting, Information Services, Recruiting","Bogotá, Distrito Especial, Colombia","Oppten busca de forma automatica las oportunidades de contratacion de los portales estatales, las analiza y notifica a las micro, pequeña,","168,945",Latin America,$1M to $10M,Active,2012-01-01,year,,,,,For Profit,http://oppten.com,http://twitter.com/oppten,http://www.facebook.com/oppten,http://www.linkedin.com/company/oppten,info@oppten.com,,,,"Oppten busca de forma automatica las oportunidades de contratacion de los portales estatales, las analiza y notifica a las micro, pequeña, medianas empresas y grandes corporaciones de las oportunidades de vender sus productos y servicios, según su perfil, geolocalizacion y presupuesto. SoloContrataMe se apoya tambien en los tratados de libre comercio para notificar a las empresas con potencial exportador de las oportunidades que tienen en otros mercados donde tienen preferencias. Actualmente SoloContrataMe busca las oportunidades de Colombia, Peru y Ecuador.  SoloContrataMe quiere que las empresas de cualquier tamaño participen activamente de las compras estatales para que nuestros gobiernos usen mejor el dinero publico.",,,,,,,,,,,,,,"Information Technology, Professional Services",2.0,"Henry Canastero, Nicolas Gutierrez",1-10,1.0,Seed,2013-03-01,25000,USD,25000.0,Seed,25000.0,USD,25000.0,Seed,25000.0,USD,25000.0,25000.0,USD,25000.0,NXTP Ventures,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"179,246",3.0,,,5.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
204,Cingle,https://www.crunchbase.com/organization/cingle,"Apps, Dating, Information Technology","Bogotá, Distrito Especial, Colombia","Cingle is an app to find, meet and share virtual drinks with singles at nightclubs","169,371",Latin America,,Active,2016-02-01,day,,,,,For Profit,http://www.cingleapp.com,https://twitter.com/cingleapp,https://www.facebook.com/cingleapp,https://www.linkedin.com/company/10813425,juan@cingleapp.com,+573105552326,,,"Cingle is an app to find, meet and exchange virtual drinks with singles in the best clubs.",,,,,,,,,,,,,,"Apps, Community and Lifestyle, Information Technology, Software",1.0,Juan Aristizabal,1-10,1.0,,2016-03-15,35000,USD,35000.0,Convertible Note,,,,,,,,35000.0,USD,35000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"179,713",4.0,1.0,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
205,Celotor,https://www.crunchbase.com/organization/celotor,"Internet, Messaging","Colombiano, Magdalena, Colombia","Detects and reports the jealousy of his cows, 24 hours a day, 365 days a year","170,585",Latin America,,Active,2011-01-01,year,,,,,For Profit,http://www.celotor.com/,http://twitter.com/CELOTOR,http://www.facebook.com/Celotor,,elopez@celotor.com,+57 313 7012392,,,"CELOTOR is a detector that detects heat beef ""standing"" or riding cows in heat, send text messages and save inseminator records anywhere.",,,,,,,,,,,,,,"Information Technology, Internet Services, Messaging and Telecommunications",1.0,Jhon Gomez,11-50,5.0,Seed,2013-11-01,33467,EUR,45325.0,Grant,186813.0,EUR,241743.0,Seed,230673.0,EUR,304818.0,319263.0,EUR,423529.0,Wayra,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"181,043",13.0,,,14.0,,,,,,,,,Colombia,Colombiano,Magdalena,0
206,Glya,https://www.crunchbase.com/organization/glya,"Health Care, Medical","Bogotá, Distrito Especial, Colombia",Glya is a social network that enables health professionals to socialize and share information among one another.,"175,022",Latin America,,Active,2012-01-01,year,,,,,For Profit,http://glya.co/,https://twitter.com/glyaco,https://es-es.facebook.com/glya.co,,info@glya.co,,,,"Glya is a social network that enables health professionals to socialize and share information among one another. Its operations are based in Bogota, Colombia.",,,,,,,,,,,,,,Health Care,,,1-10,1.0,,2012-05-08,24902,EUR,32409.0,Grant,,,,,,,,24902.0,EUR,32409.0,Wayra,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"185,948",9.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
207,myband.is,https://www.crunchbase.com/organization/myband-is,"Apps, Software","Bogotá, Distrito Especial, Colombia","Myband.is enables users to make custom webpages, using content from their social networks.","175,191",Latin America,Less than $1M,Active,2012-01-01,year,,,,,For Profit,http://myband.is/,http://twitter.com/mybandis,,,,,,,"Myband.is enables users to make custom webpages, using content from their social networks. It is was founded by Lucho Molina and is based in Bogota, Distrito Especial.",,,,,,,,,,,,,,"Apps, Software",1.0,Lucho Molina,1-10,1.0,Seed,2012-06-02,31712,EUR,39253.0,Seed,31712.0,EUR,39253.0,Seed,31712.0,EUR,39253.0,31712.0,EUR,39253.0,Wayra,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"186,135",1.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
208,Icanbesponsored,https://www.crunchbase.com/organization/icanbesponsored,Sports,"Bogotá, Distrito Especial, Colombia",Icanbesponsored is an online company that enables young athletes to find sponsors for their sports careers.,"175,211",Latin America,,Active,2012-01-01,year,,,,,For Profit,http://www.icanbesponsored.com,http://twitter.com/icanbesponsored,https://www.facebook.com/icanbesponsored,,info@icanbesponsored.com,573212404950,,,Icanbesponsored is a company whose goal consists in helping young athletes continue on with their sports career. The idea is to find possible sponsors that will be willing to help young athletes who need money for training and competitions. Athletes that are sponsored through Icanbesponsored will have the possibility to register their achievements and goals in the website in order to gain certificates and motivate sponsors.         This company pretends to be a global instrument that promotes sports through different experiences of athletes around the world.,,,,,,,,,,,,,,Sports,,,1-10,1.0,Seed,2012-08-10,1000,USD,1000.0,Seed,1000.0,USD,1000.0,Seed,1000.0,USD,1000.0,1000.0,USD,1000.0,Daniel Ortiz,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"186,158",1.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
209,WOWPark,https://www.crunchbase.com/organization/parqueate,"Parking, Public Transportation","Bogotá, Distrito Especial, Colombia",Parking Spots Marketplace,"177,958",Latin America,,Active,2014-01-01,year,,,,,For Profit,http://www.wowpark.co,http://twitter.com/parqueateCO,http://www.facebook.com/parqueate.co,,octavio@wowpark.co,+49015784856887,,,"Free mobile app to find, share & rent parking spots.  WOWPark is the AirBnB of parking spots, a marketplace where individuals rent parking spots and users find parking at better rates. The mobile app engages the users by letting them add new parking spots they find and adding comments and ratings to parking facilities so other users can evaluate the experience of using them.",,,,,,,,,,,,,,Transportation,3.0,"Ausberto Morales, Jorge Ramirez, Octavio Herrera",1-10,1.0,Seed,2014-10-13,25000,USD,25000.0,Seed,25000.0,USD,25000.0,Seed,25000.0,USD,25000.0,25000.0,USD,25000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"189,179",15.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
210,Amazing Soul Games,https://www.crunchbase.com/organization/amazing-soul-games,"Computer, Gaming, Video Games","Medellín, Antioquia, Colombia",Amazing Soul Game Studio is a videogame production company.,"187,620",Latin America,Less than $1M,Active,2013-01-01,year,,,,,For Profit,http://www.amazingsoulgames.com/,https://twitter.com/amazingsgstudio,https://www.facebook.com/amazingsoulgames,,,,,,Amazing Soul Game Studio is a videogame production company.,,,,,,,,,,,,,,"Consumer Electronics, Gaming, Hardware",2.0,"Daniel Escorce, Diego Ossa",1-10,1.0,Seed,2016-09-01,25000,USD,25000.0,Seed,25000.0,USD,25000.0,Seed,25000.0,USD,25000.0,25000.0,USD,25000.0,GameFounders,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"199,701",10.0,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
211,Nuevos Horizontes de Información,https://www.crunchbase.com/organization/nuevos-horizontes-de-información,"Information Services, Transportation, Travel","Bogotá, Distrito Especial, Colombia",Nuevos Horizontes de Información is an organization focused on optimizing the information tools.,"187,741",Latin America,$1M to $10M,Active,2011-01-01,year,,,,,For Profit,http://www.nhi.com.co/,,,https://www.linkedin.com/company/n-h-i--nuevos-horizontes-de-informaci%C3%B3n--s-a-s-/?originalSubdomain=in,comercial@nhi.com.co,+317-795-0617,,,"Nuevos Horizontes de Información is an organization focused on optimizing the information tools, with the purpose of improving the travel experience of the users of the transport service in Colombia, in its modalities: air, land, rail and fluvial. In the year 2017, 25% of the travelers in Colombia that use the transport service, in its air, land, river and rail modalities, will use the developments offered by our Organization as support for the adoption of intelligent decisions.",,,,,,,,,,,,,,"Information Technology, Transportation, Travel and Tourism",,,1-10,1.0,Seed,2018-04-01,20000,USD,20000.0,Seed,20000.0,USD,20000.0,Seed,20000.0,USD,20000.0,20000.0,USD,20000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"199,834",7.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
